Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy pre0tal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly fi0nced pre0tal care, 2005-2008","% teen births, 2005-2008",
Richmond,1618,345,246,35568,155,9.68,78.26,0,0,0,0,0,21.74,0,
Rochester,5295,1432,446,24630,515,11.25,89.24,17.5,1,0,6.25,0,14.09,0,
Rockland,17842,4768,2348,23068,2690,15.44,88.18,18.61,6,6.73,7.62,4.71,31.05,4.48,
Rockport,7761,1683,1551,29294,1083,14.11,95.65,13.61,2,0,5.76,3.08,27.66,6.15,
Rowe,350,63,62,28134,59,16.43,90,0,0,0,0,0,0,0,
Rowley,5832,1695,550,27413,688,12.68,90.91,18.22,0,0,8.14,7.95,12.94,2.65,
Royalston,1366,409,128,18297,388,31.11,86.67,0,0,0,0,0,24.44,0,
Russell,1723,477,166,21318,349,21.19,79.75,17.07,0,0,0,0,41.46,0,
Rutland,7406,2329,553,23311,690,11.06,77.56,16.57,4,0,8.31,7.46,8.06,2.49,
Salem,41647,9520,5689,23857,8935,22.77,80.48,11.92,7,3.37,7.01,3.99,36.75,6.11,
Salisbury,8264,2033,965,21608,1629,21.04,84.94,15.46,4,0,8.83,5.68,43.42,8.83,
Sandisfield,830,163,145,27628,124,15.9,91.3,21.74,0,0,0,0,42.86,0,
Sandwich,20707,5740,2889,26895,2370,11.89,89.97,18.27,2,2.7,6.63,5.68,17.3,3.51,
Saugus,26867,5811,4652,25524,3503,13.55,87.65,19.81,6,5.8,7.95,5.89,26.15,2.51,
Savoy,724,170,75,20223,141,20.77,80.95,0,0,0,0,0,0,0,
Scituate,18119,4645,2816,33940,1548,8.75,92.39,17.35,3,4.57,7.61,6.09,9.15,1.83,
Seekonk,13660,3491,1764,24058,1434,10.7,87.53,14.54,1,0,6.3,3.87,16.55,2.42,
Sharon,17269,5371,1821,41323,1241,7.16,81.1,21.84,0,0,9.01,6.12,7.46,1.36,
Sheffield,3360,778,524,25492,635,19.33,82.93,20.31,0,0,3.91,0,43.22,3.91,
Shelburne,2054,425,404,20329,451,23.69,84.75,0,1,0,8.47,10,33.9,0,
Sherborn,4220,1343,470,58055,242,5.76,88.68,20.37,0,0,6.48,0,0,0,
Shirley,7361,1692,685,20556,640,12.16,85.51,15.52,1,0,3.97,2.17,21.32,5.05,
Shrewsbury,33171,8428,4226,31570,3695,11.73,81.54,14.22,6,3.83,7.65,5.17,10.03,1.21,
Shutesbury,1843,501,100,26260,293,16.25,77.78,9.52,0,0,0,0,13.33,0,
Somerset,18564,3886,3769,22420,2524,14.14,92.12,13.14,4,6.72,4.71,3.36,26.27,5.21,
Somerville,75372,13866,8021,23628,20019,26.62,83.5,10.48,19,5.15,7.22,2.96,39.1,3.53,
South Hadley,17071,3829,2969,22732,2518,16.44,84.5,9.93,4,7.45,8.6,6.52,23.16,3.91,
Southampton,5828,1444,596,26205,428,7.96,88.89,15.12,1,0,5.81,3.49,15.88,0,
Southborough,9511,2991,737,44310,406,4.63,87.06,15.48,3,0,7.11,4.57,3.81,0,
Southbridge,17503,4625,2457,18514,5748,33.91,83.65,12.4,8,7.93,10.42,3.77,54.36,14.77,
Southwick,9512,2562,1088,21756,1276,14.5,84.87,14.42,1,0,9.4,9.4,17.67,4.08,
Spencer,12087,3108,1411,21017,2494,21.43,83.18,12.31,2,3.73,6.34,4.1,24.34,5.97,
Springfield,156358,47878,18271,15232,63819,43.61,70.43,13.42,95,9.61,10.44,3.66,72.21,18.58,
Sterling,7761,2143,663,28844,632,8.71,87.15,13.49,0,0,8.3,7.61,8.36,0,
Stockbridge,2256,371,496,32499,499,22.59,63.83,0,1,0,17.02,0,45.45,0,
Stoneham,21594,4746,4050,27599,2718,12.41,89.62,14.91,3,3.44,6.9,6.41,12.43,1.6,
Stoughton,26782,6520,3930,25480,3666,13.79,81.35,16.45,4,3.22,11.95,6.69,28.07,2.66,
Stow,6159,1778,507,38260,539,9.17,87.58,18.06,1,0,4.35,4.01,4.36,0,
Sturbridge,8825,2272,1123,25559,1192,15.25,86.06,15.61,1,0,7.43,5.24,6.25,1.57,
Sudbury,17035,5574,1673,53285,1344,8.08,87.72,19.2,0,0,7.89,10.42,3.29,0.74,
Sunderland,3853,645,281,20024,1315,35.43,86.96,9.48,0,0,8.62,6.9,31.9,0,
Sutton,8974,2657,695,27490,790,9.66,85.67,17.24,0,0,6.3,7.74,10.79,1.72,
Swampscott,14283,3485,2556,35487,1371,9.71,87.97,16.92,2,3.37,4.23,3.71,9.49,1.69,
Swansea,16243,3716,2447,21776,2618,16.66,90.82,15.47,2,3.68,6.45,3.87,33.52,3.87,
Taunton,56348,14443,6936,19899,12961,23.44,76.62,14.91,24,8,7.76,3.27,43.33,6.73,
Templeton,7474,1988,919,21994,1504,23.15,86.21,15.17,2,0,3.73,0,24.76,5.25,
Tewksbury,28990,7685,3370,27031,3021,10.62,83.84,17.56,1,0.83,6.79,4.67,13.23,2.59,
Tisbury,3819,792,700,26783,1007,27.63,88.14,11.86,3,0,5.67,7.22,47.67,3.09,
Tolland,446,105,55,30126,78,18.31,76.92,0,0,0,0,0,0,0,
Topsfield,6178,1772,938,37770,298,4.93,94.8,25.71,0,0,8,12.85,5.17,0,
Townsend,9273,3062,632,22658,1121,12.22,85.71,14.02,2,0,7.5,4.35,15.77,2.48,
Truro,2162,373,367,22608,531,25.49,82.98,0,0,0,0,0,40.43,0,
Tyngsborough,11297,3607,763,27249,1409,12.73,83.41,16.3,3,0,6.54,6.29,13.62,3.25,
Tyringham,352,65,53,35503,30,8.8,0,0,0,0,0,0,0,0,
Upton,6374,1856,588,34924,463,8.28,89.07,14.43,0,0,6.89,4.59,6.98,1.64,
Uxbridge,12377,3659,1182,24540,1550,13.97,89.32,15.35,2,2.92,7.47,6.73,17.46,3.36,
Wakefield,24553,5883,3798,30369,2325,9.46,90.64,16.17,4,3.51,7.13,4.91,9.43,0.96,
Wales,1818,464,127,21267,286,16.63,84.62,20,1,0,0,0,21.05,0,
Walpole,23067,6185,3302,32117,1190,5.44,85.41,20.39,1,0.93,5.1,4.26,9.39,1.02,
Waltham,59564,12290,7827,26364,9509,17.75,80.17,11.99,7,2.25,7.65,4.49,30.58,3.66,
Ware,9988,2397,1539,18908,2851,29.57,82.15,12.24,2,3.77,5.65,1.88,45.42,11.11,
Wareham,21274,5294,3471,21312,5714,28.62,84.38,11.59,3,3.12,6.36,3.43,40.32,8,
Warren,5040,1392,636,17192,1551,32.84,76.82,12.55,4,0,7.11,5.02,38.14,9.21,
Warwick,763,170,78,19989,153,20.45,80,0,0,0,0,0,47.37,0,
Washington,546,145,53,23610,126,22.99,68.18,0,0,0,0,0,42.86,0,
Watertown,32255,5311,5551,33262,4729,14.85,87.27,12.33,3,1.8,7.76,5.95,16.72,1.08,
Wayland,13015,3764,1837,52717,947,7.32,89.93,15.03,0,0,5.24,6.82,3.44,0,
Webster,16853,3993,2693,20410,4494,27.92,82.43,14.05,4,4.68,7.49,3.39,32.38,7.49,
Wellesley,26975,8142,3656,52866,1691,7.3,86.34,15.27,0,0,7.25,7.91,3.89,0.48,
Wellfleet,2821,509,606,25712,612,22.34,88.52,8.2,1,0,13.11,0,39.34,0,
Wendell,1035,267,49,19701,206,23.12,78.13,0,1,0,0,0,45.16,0,
Wenham,4643,1493,629,36812,356,10.16,96.4,14.41,1,0,5.41,6.9,6.31,0,
West Boylston,7708,1713,1056,22899,699,11.43,83.49,16.06,3,0,5.07,5.05,9.68,2.29,
West Bridgewater,6819,1573,1239,23701,833,12.82,88.64,12.03,0,0,5.28,3.76,18.87,4.14,
West Brookfield,3896,922,811,21501,490,14.31,85.5,17.56,3,0,7.58,6.02,27.27,9.77,
West Newbury,4301,1303,374,35323,340,8.19,95.1,21.09,2,0,10.88,4.03,9.35,0,
West Springfield,27938,6660,4273,20982,7437,27.09,78.56,12.13,7,5.16,8.57,4.2,46.45,6.93,
West Stockbridge,1450,311,243,31425,275,19.5,72.41,31.03,0,0,0,0,23.33,0,
West Tisbury,2666,641,275,31021,411,16.7,92.71,8.25,0,0,0,6.06,31.58,0,
Westborough,18781,5296,2088,35063,1687,9.76,81.75,15.88,3,3.36,6.94,5.03,15.44,1.9,
Westfield,40432,10706,5363,20600,8717,23.22,81.28,14.72,7,4,6.24,2.4,40.13,7.15,
Westford,21369,7013,1558,37979,1071,5.19,80.1,19.14,2,2.47,7.54,5.43,4.98,0.74,
Westhampton,1566,377,146,25360,159,10.83,95.92,14.29,0,0,0,0,0,0,
Westminster,7358,2031,757,24913,937,13.7,88,13.2,1,0,6,3.98,21.54,5.18,
Weston,11591,3397,1923,79640,726,6.73,90.94,22.48,0,0,6.04,8.39,0,0,
Westport,15053,3292,2103,25281,2162,15.29,92.92,11.81,3,6,7.21,4.4,26.12,4.2,
Westwood,13902,3932,2680,41553,967,6.92,89.45,19.46,0,0,5.18,6.25,4.64,0,
Weymouth,53708,12699,8201,24976,8254,15.46,89.56,16.15,15,5.49,7.76,5.05,27.53,3.69,
Whately,1584,333,194,27826,199,12.82,90.2,23.53,0,0,0,0,25.49,0,
Whitman,14424,3973,1410,23002,2336,16.93,89.43,18.84,2,2.51,7.41,5.4,20.4,4.52,
Wilbraham,13960,3717,2304,29854,1570,11.85,86.99,15.28,3,0,5.41,4.64,16.93,2.58,
Williamsburg,2433,498,321,25813,411,16.93,91.58,20,1,0,5.26,0,15.79,0,
Williamstown,8276,1942,1578,26039,1102,18.08,91.23,14.53,1,0,6.4,3.47,28.21,3.47,
Wilmington,21431,6231,2355,25835,1639,7.77,87.4,15.67,1,0.99,7.05,6.53,7.78,1.68,
Winchendon,10085,3161,1011,18798,2436,25.59,78.91,13.42,1,0,8.01,3.9,36.18,10.17,
Winchester,21139,5491,3658,50414,1383,6.77,89.97,16.91,1,1.11,5.45,6.56,3.57,0.89,
Windsor,858,221,89,21794,181,20.38,81.82,0,0,0,0,0,45.45,0,
Winthrop,17067,3497,2702,27374,2810,15.53,88.28,15.94,4,5.85,8.33,4.82,25.04,3.07,
Woburn,37074,8385,5703,26207,5479,14.77,84.1,13.55,9,4.56,7.88,4.46,19.9,2.63,
Worcester,179839,48217,23062,18614,58841,36.22,75.3,10.95,99,9.51,8.32,3.47,49.01,9.88,
Worthington,1291,313,146,24190,175,14.43,83.33,0,0,0,0,0,33.33,0,
Wrentham,11066,3233,1316,30792,966,9.73,82.17,19.14,2,0,7.46,8.3,9.95,1.49,
Yarmouth,24663,4161,7475,22731,5241,21.33,86.73,12.12,4,4.52,7.59,5.31,47.6,6.55,
