Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy pre0tal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly fi0nced pre0tal care, 2005-2008","% teen births, 2005-2008",
Cheshire,3356,787,476,19156,767,22.72,80.99,14.05,0,0,8.26,0,36.67,5.74,
Chester,1320,341,144,18098,280,21.54,76.92,17.95,0,0,0,0,33.33,0,
Chesterfield,1271,314,126,19220,270,22.58,90,0,0,0,0,0,27.5,0,
Chicopee,54599,12948,9174,18646,16140,29.92,80.63,12.21,6,2.44,7.37,3.05,50.66,10.82,
Chilmark,944,174,177,30029,125,15.13,93.94,0,0,0,0,0,24.24,0,
Clarksburg,1663,383,271,19389,334,19.87,94.34,15.09,0,0,15.09,0,30.19,0,
Clinton,13997,3345,1980,22764,2954,22.25,83.56,10.57,1,1.22,6.32,4.74,30.73,6.68,
Cohasset,7219,2061,1092,42909,591,8.22,92.64,25.08,0,0,6.35,8.7,3.38,0,
Colrain,1858,490,221,18948,406,22.63,79.31,13.79,0,0,0,0,31.03,10.34,
Concord,16858,4254,2767,51477,1214,7.79,87.32,22.43,0,0,6.09,4.9,4.72,0,
Conway,1902,448,173,25605,229,12.67,91.8,9.84,0,0,0,0,13.11,0,
Cummington,986,281,111,21553,201,22.61,78.57,0,0,0,0,0,0,0,
Dalton,6697,1725,1126,23634,1280,18.99,74.77,16.28,0,0,11.16,5.58,28.97,7.91,
Danvers,25999,6290,4439,26852,2487,10.27,90.89,15.45,2,2.13,6.3,5.01,15.15,2.02,
Dartmouth,31371,7554,4672,24326,4548,16.61,83.35,15.46,11,11.79,9.42,5.89,26.75,4.5,
Dedham,23681,5632,3901,28199,2845,12.58,85.83,17.72,1,0.93,7.18,5.96,16.14,2.61,
Deerfield,4786,1000,626,24555,817,17.2,91.72,13.84,1,0,7.55,3.73,17.72,3.73,
Dennis,15914,2687,4461,25428,3376,21.21,82.2,12.2,2,3.98,7.2,2.78,49.39,7.95,
Dighton,6648,1767,830,22600,542,8.89,81.37,18.91,1,0,5.38,5.73,20.47,3.58,
Douglas,7861,2409,596,23036,891,12.69,87.88,12.04,1,0,4.39,4.62,16.63,2.77,
Dover,5634,1802,612,64899,344,6.2,90.6,17.33,0,0,8.67,14.57,0,0,
Dracut,28805,7924,3362,23750,3345,11.72,81.84,16.59,4,2.7,6.55,4.11,20.52,3.57,
Dudley,10787,2916,1310,21546,1891,19.72,84.49,14.96,3,0,6.18,4.51,20.44,4.75,
Dunstable,3142,1006,214,30608,220,7.8,82.65,19.39,0,0,5.1,8.16,9.86,0,
Duxbury,14655,4265,1805,40242,768,5.45,92.05,22.38,1,0,4.18,3.97,6.53,2.3,
East Bridgewater,13832,3891,1440,23532,1853,14.45,89.77,16.47,2,3.36,7.21,5.54,16.81,3.36,
East Brookfield,2111,550,269,22629,337,16.17,85.29,18.63,0,0,9.8,7.84,15.69,10.78,
East Longmeadow,14845,3704,2735,27659,1606,11.59,87.96,17.5,1,1.96,6.29,6.29,11.92,1.77,
Eastham,5550,974,1415,24642,1144,21.13,84.73,10.69,0,0,7.63,0,36.64,6.87,
Easthampton,15994,3263,2285,21922,3756,23.6,89.51,12.54,5,8.04,5.98,5.63,27.76,6.59,
Easton,22995,6367,2068,30732,1597,7.79,82.16,19.66,1,1.21,7,5.55,12.58,1.21,
Edgartown,3934,851,488,25740,690,18.54,89.66,10.8,1,0,0,0,46.55,5.11,
Egremont,1355,233,262,41702,272,20.19,86.67,0,0,0,0,0,40,0,
Erving,1542,338,204,19107,309,21.22,84.85,7.58,0,0,0,0,21.21,0,
Essex,3342,833,443,31613,516,15.79,95.42,21.8,0,0,10.45,12.06,11.19,0,
Everett,37100,8831,5428,19845,10637,28.21,81.96,14.22,11,4.35,7.84,2.45,64.15,6.32,
Fairhaven,16223,3580,3106,20986,3634,23.1,82.77,11.65,1,1.66,6.14,4.3,28.52,6.46,
Fall River,92117,23428,14836,16118,35716,39.63,85.4,13.78,40,8.2,8.94,3.65,65.08,12.59,
Falmouth,33620,6891,7498,27548,6073,18.85,83.41,15.36,4,3.61,8.82,4.7,34.96,5.6,
Fitchburg,40514,11417,5428,17256,12926,34.51,80.01,11.71,12,5.03,8.11,3.77,53.01,12.03,
Florida,666,170,92,16979,115,16.69,94.29,0,0,0,0,0,50,0,
Foxborough,16288,4567,1916,32294,1574,9.77,83.46,19.03,2,3,9.15,6,11.73,1.95,
Framingham,65651,15394,8489,27758,13477,21.14,86.26,15.5,14,3.46,7.63,4.57,40.59,5.08,
Franklin,30748,10225,2539,27849,2614,9.04,85.09,18.81,4,2.65,7.11,7.3,6.86,1.19,
